timestamp,kappa,batch_start,batch_end,n_done,n_total,percent_done,elapsed_seconds
2026-05-17 19:46:50,4.0,640,672,672,1000,67.2,1123.067570924759
2026-05-17 19:47:50,4.0,672,704,704,1000,70.4,1184.0392525196075
2026-05-17 19:48:48,4.0,704,736,736,1000,73.6,1241.2195177078247
2026-05-17 19:49:51,4.0,736,768,768,1000,76.8,1304.9369359016418
2026-05-17 19:50:56,4.0,768,800,800,1000,80.0,1369.2037649154663
2026-05-17 19:51:56,4.0,800,832,832,1000,83.2,1429.6480524539948
2026-05-17 19:53:03,4.0,832,864,864,1000,86.4,1496.5817935466766
2026-05-17 19:54:04,4.0,864,896,896,1000,89.6,1557.796863079071
2026-05-17 19:55:04,4.0,896,928,928,1000,92.8,1617.3610906600952
2026-05-17 19:55:57,4.0,928,960,960,1000,96.0,1670.922116279602
2026-05-17 19:56:57,4.0,960,992,992,1000,99.2,1730.2769060134888
2026-05-17 19:57:41,4.0,992,1000,1000,1000,100.0,1774.4509575366974
